Position,Track Name,Artist,Streams,URL
72,This Is What You Came For,Calvin Harris,796544,0azC730Exh71aQlOt9Zj3y
73,Perfect Strangers,Jonas Blue,780517,1CUVN2kn7mW5FjkqXTR2W1
74,Ride,Twenty One Pilots,766770,2Z8WuEywRWYTKe1NybPQEW
75,Setting Fires,The Chainsmokers,757335,0B8B8cVRFIG1yznoQe7c9s
76,Stressed Out,Twenty One Pilots,754304,3CRDbSIZ4r5MsZ0YwxuEkn
77,Chill Bill,Rob $tone,753491,5uDASfU19gDxSjW8cnCaBp
78,El Amante,Nicky Jam,750075,1q54kHOh0pZSfRlSHDifHO
79,X (feat. Future),21 Savage,749736,6fwdbPMwP1zVStm8FybmkO
80,T-Shirt,Migos,742774,2HgGPga67UQXWW2JLuYE6E
81,Panda,Desiigner,742592,5OOkp4U9P9oL23maHFHL1h
82,Work from Home,Fifth Harmony,737547,4tCtwWceOPWzenK2HAIJSb
83,Too Good,Drake,737541,11KJSRSgaDxqydKYiD2Jew
84,Lighthouse - Andrelli Remix,Hearts & Colors,737316,04CttTezSnv71USiiG9mIo
85,Faded,Alan Walker,735750,1brwdYwjltrJo7WHpIvbYt
86,Thinking Out Loud,Ed Sheeran,724018,34gCuhDGsG4bRPIf9bb02f
87,Steady 1234 (feat. Jasmine Thompson & Skizzy Mars),Vice,720803,40UroIGvsMPLPBYwH8rMNA
88,Sorry,Justin Bieber,720630,69bp2EbF7Q2rqc5N3ylezZ
89,Trust Nobody,Cashmere Cat,710933,2RlcBZiskvuupu6pG8bsNe
90,No Lie,Sean Paul,706776,2ZiDfw6UdzDu754cBiwgEG
91,"i hate u, i love u (feat. olivia o'brien)",gnash,706317,7vRriwrloYVaoAe3a9wJHe
92,Issues,Julia Michaels,705586,1sXUWdKx03aP9Gmzft58rt
93,"Sucker For Pain (with Wiz Khalifa, Imagine Dragons, Logic & Ty Dolla $ign feat. X Ambassadors)",Lil Wayne,698821,4dASQiO1Eoo3RJvt74FtXB
94,Love Yourself,Justin Bieber,688749,3hB5DgAiMAQ4DzYbsMq1IT
