82,Work from Home,Fifth Harmony,0.025,0.40672780207125
83,Too Good,Drake,-0.11111111111111113,0.48560614777777783
84,Lighthouse - Andrelli Remix,Hearts & Colors,-0.3,0.00305669
85,Faded,Alan Walker,-0.375,0.522010525
86,Thinking Out Loud,Ed Sheeran,0.48333333333333334,0.9208402333333333
87,Steady 1234 (feat. Jasmine Thompson & Skizzy Mars),Vice,-0.3,0.00305669
88,Sorry,Justin Bieber,-0.3666666666666667,0.38776716666666666
89,Trust Nobody,Cashmere Cat,-0.3,0.00305669
90,No Lie,Sean Paul,0.24545454545454548,0.8909638909090909
91,"i hate u, i love u (feat. olivia o'brien)",gnash,-0.044444444444444446,0.27639147677777776
92,Issues,Julia Michaels,-0.3,0.00305669
93,"Sucker For Pain (with Wiz Khalifa, Imagine Dragons, Logic & Ty Dolla $ign feat. X Ambassadors)",Lil Wayne,-0.3,0.00305669
94,Love Yourself,Justin Bieber,0.06250000000000001,0.8474311999999999
95,Some Kind Of Drug,G-Eazy,-0.08888888888888892,0.8557426444444444
96,It's Gotta Be You,Isaiah,-0.3,0.00305669
97,Versace On The Floor,Bruno Mars,0.016666666666666663,0.9031138333333334
98,No Heart,21 Savage,-0.3,0.00305669
99,Traicionera,Sebastian Yatra,-0.3,0.00305669
100,Hymn For The Weekend - Seeb Remix,Coldplay,0.075,0.5050077575
101,SneakinÛª,Drake,-0.3,0.00305669
102,Not Going Home,DVBBS,-0.3,0.00305669
103,Ay Mi Dios,IAmChino,-0.3,0.00305669
104,Shout Out to My Ex,Little Mix,0.3444444444444445,0.7984802777777777
105,Work,Rihanna,0.18,0.524801671
106,Light It Up (feat. Nyla & Fuse ODG) - Remix,Major Lazer,0.13999999999999999,0.87785484
107,You Don't Know Me,Jax Jones,-0.3,0.00305669
108,Touch,Little Mix,0.07777777777777778,0.8926259444444445
109,Light,San Holo,-0.3,0.00305669
110,Controlla,Drake,-0.014285714285714287,0.6329439571428571
111,La Bicicleta,Carlos Vives,-0.3,0.00305669
112,The Ocean,Mike Perry,0.3333333333333333,0.7436656999999999
113,September Song,JP Cooper,-0.3,0.00305669
114,Six Feet Under,The Weeknd,-0.23750000000000002,0.6081827875
115,Capsize,FRENSHIP,-0.18,0.33579638999999994
116,Changing,John Mayer,-0.09999999999999999,0.3781944
117,Needed Me,Rihanna,-0.019999999999999997,0.9350461600000001
118,Vacaciones,Wisin,-0.3,0.00305669
119,Love on the Weekend,John Mayer,0.325,0.8006084499999999
